REGION,PROVINCE,ADDRESS,NAME OF FACILITY,"OWNERSHIP (DOH Retained, LGU, GOVERNMENT & PRIVATE)",CLASSIFICATION (Hospital-based / non-hospital based) ,TESTING PROCEDURE,Brand,"Date of Submission of Application & Self-Assessment Tool
(start date)
",STAGE,"REMARKS
",LTO VALIDITY,LICENSED NUMBER,With POOLED testing certificate,HEAD OF LABORATORY,EMAIL ADDRESS,CONTACT NUMBER,INSPECTORS / ASSESORS,,,,,,,,,,,,,
Region 6,Iloilo,Passi City,Philippine Red Cross Passi City Molecular Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0066-2021-CT-2,,Ms. ChrisAnn Mendoza,prcpassimolecularlab@gmail.com,639202308444,,,,,,,,,,,,,,
Region 6,Iloilo,Mandurriao,Qualimed Health Network - Iloilo,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0381-21-H2-2,,,qualimediloilo@qualimed.com.ph,(033) 500 4000,,,,,,,,,,,,,,
Region 6,Iloilo,Iloilo City,Uswag Iloilo Molecular Laboratory,LGU,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0035-2021-CT-1,,Dr. Ong,uswagiloilomolecularlaboratory@gmail.com ,639487900009,,,,,,,,,,,,,,
Region 6,Iloilo,"Q. Abeto Street, Mandurriao, Iloilo City",Western Visayas Medical Center (WVMC),DOH Retained,Hospital Based,rRT PCR,,SNL,5,RENEWED,01/01/21 - 12/31/21,06-0386-21-H3-1,"December 21, 2020",,wvmcsnl@yahoo.com,(02) 8942 6843,,,,,,,,,,,,,,
Region 6,Iloilo,"E. Lopez St., Jaro, Iloilo City",Western Visayas State University Medical Center,GOVERNMENT,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0386-21-H3-1,,,wvsumc.molecularlab@gmail.com,,,,,,,,,,,,,,,
Region 2,Isabela,City of Ilagan,Philippine Red Cross Isabela Molecular Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,02-0065-2021-CT-2,,Yunik Lasquero,isabela@redcross.org.ph ,639362874712,"Dr. Aguilar, Mr. Malbacias, Ms. Foronda, Ms. Padua & Engr. Salanga",,,,,,,,,,,,,
Region 2,Isabela,"Zamora St, Santiago, 3311 Isabela",Southern Isabela Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,02-0264-21-H3-1,,,"sigh_coh@yahoo.com>,
southern_isabela09@yahoo.com",(078) 305 0459,,,,,,,,,,,,,,
Region 1,La Union,"Parian, San Fernando City, La Union Region 1",Ilocos Training Regional Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,01-0358-21-H3-1,,Dr. Brenda Rosuman,itrmc.mbl@gmail.com,(072) 607 6418,,,,,,,,,,,,,,
Region 1,La Union,"Parian, San Fernando City, La Union Region 1",Ilocos Training Regional Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,01-0358-21-H3-1,,Dr. Jimmy Rosales,itrmc.mbl@gmail.com,(072) 607 6418,,,,,,,,,,,,,,
Region 4A,Laguna,"Crossing AH26, Real, Calamba, 4027 Laguna",Calamba Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-143-21-H2-2,,Dr. Jennifer Torres,"jentorresmd@gmail.com , marsandrego@cmc.ph",(078) 302 0000,,,,,,,,,,,,,,
Region 4A,Laguna,"Gen. Luna St. Brgy. IV-A San Pablo City, Laguna",Laguna City Provincial Hospital-San Pablo City District Hospital,LGU,Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0046-2021-CT-1,,Dr. Imelda Marie Fremielle Flores-Palacol,,,,,,,,,,,,,,,,
Region 4A,Laguna,Sta. Cruz,"Laguna Holy Family Hospital, Inc - Satellite Molecular Laboratory",PRIVATE,Hospital Based,rRT PCR,,,5,NEW,03/12/21 - 12/31/21,4A-0018-2021-CT-2,,Ms. Dela Torre,lhfh2014@gmail.com / pauleenmagallona0629@gmail.com,639062246657,"Dr. Bonagua, Engr. Lui, Ms. Casagan, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 4A,Laguna,Sta. Cruz,"Laguna Holy Family Hospital, Inc.",PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0044-2021-CT-2,,Dr. Azeus Silva,lhfhimolecularlaboratory2020@gmail.com,9062246657,"Dr. Bonagua, Ms. Toledo, Ms. Foronda, Ms. Padua & Engr. Salanga",,,,,,,,,,,,,
Region 4A,Laguna,City of Sta. Rosa,Qualimed Hospital Sta. Rosa,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0410-21-H2-2,,,,(049303) 0000,,,,,,,,,,,,,,
Region 4A,Laguna,"Maharlika Highway, Brgy. San Rafael, San Pablo City, Laguna 4000",San Pablo College Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0002-2021-CT-2,,,inquiry@spcmc.com.ph,"(049) 562-0726 to 8
(049) 521-2898",,,,,,,,,,,,,,
Region 4A,Laguna,City of Sta. Rosa,Sta. Rosa CHO,LGU,Non-Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,4A-0073-2021-CT-2,,Mariza Garing,garingmb1017@gmail.com,,,,,,,,,,,,,,,
Region 4A,Laguna,"Pedro R. Sandoval Ave, Los Baños, Laguna",UPLB Covid-19 Molecular Laboratory,GOVERNMENT,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0041-2021-CT-2,,,ovcre.uplb@up.edu.ph,,,,,,,,,,,,,,,
Region 10,Lanao del Norte,Mun. of Kapatagan,Lanao Del Norte Covid-19 Testing Laboratory,LGU,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,10-0034-2021-CT-2,,Dr. Neal Rana,ldncovidlab@gmail.com,0917-7776499,REGION X,,,,,,,,,,,,,
Region 10,Lanao del Norte,Iligan City,Gregorio T. Lluch Memorial Hospital,GOVERNMENT,Hospital Based,rRT PCR,,"March 24, 2021",3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
BARMM,Lanao Del Sur,"Marawi City, Lanao del Sur",Amai Pakpak Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,10-0108-21-H2-1,,Dr. Aslia M. Mapandi,apmc_marawi@yahoo.com / apmcmollab@gmail.com,(63) 9171582120,,,,,,,,,,,,,,
BARMM,Lanao Del Sur,"Marawi City, Lanao del Sur",Amai Pakpak Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,10-0108-21-H2-1,,Dr. Aslia M. Mapandi,apmc_marawi@yahoo.com /apmcmollab@gmail.com,(63) 9171582120,Ar. Rene,,,,,,,,,,,,,
Region 8,Leyte,"M.H. Del Pilar St, Downtown, Tacloban City, Leyte",Divine Word Hospital,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,08-0374-21-H3-2,,Dr. Lorenzo Abanilla,divinewordhospitaltacloban@gmail.com,(044) 793 0034,,,,,,,,,,,,,,
Region 8,Leyte,"Magsaysay Blvd, Downtown, Tacloban City",Eastern Visayas Regional Covid-19 Testing Center,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,08-0037-2021-CT-2,,Dr. Cleocita Parilla-Portula,evrmccao@gmail.com,0935 678 9109,"Dr. Aguilar, Mr. Malbacias, Ar. Leonado, Ms. Foronda, Ms. Padua and Engr Tolentino",,,,,,,,,,,,,
Region 8,Leyte,Ormoc City,OSPA - Farmers' Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,08-0454-21-H2-2,,Riza Lagutin,ospafmc@gmail.com,639173084403,"Dr. Aguilar, Mr. Malbacias, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
BARMM,Maguindanao,Datu Hoffer,Maguindanao Provincial Hospital,GOVERNMENT,Hospital Based,rRT PCR,,"February 2, 2021",3,FOR COMPLIANCE,,,,,,,"Mr. Olmedo, Ar. Leonado, Ms. Fermo, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
NCR,Metro Manila,Las Pinas,"A Star Laboratories, Inc.",PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0074-2021-CT-2,,Dr. Raymundo W. Lo,zdiagnostics4@gmail.com,,,,,,,,,,,,,,,
NCR,Metro Manila,Makati City,Al Molecular Diagnostic Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0020-2021-CT-2,,Dr. Francia Victoria A. Delos Reyes,Almolecularlab@gmail.com,9177033016,,,,,,,,,,,,,,
NCR,Metro Manila,Makati City,Al Molecular Diagnostic Laboratory,PRIVATE,Non-Hospital Based,Cartridge-based PCR,Easynat,,5,NEW,02/26/21 - 12/31/21,13-0013-2021-CT-2,,Dr. Francia Victoria A. Delos Reyes,Almolecularlab@gmail.com,,,,,,,,,,,,,,,
NCR,Metro Manila,"Sumulong Highway Sto. Nino, Marikina, 1800 Metro Manila",Amang Rodriguez Memorial Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0208-21-H3-1,,Dr. Ricardo S. Quimbo,pathologymole.armmc@gmail.com,(02) 8941 5854,,,,,,,,,,,,,,
NCR,Metro Manila,"Sumulong Highway Sto. Nino, Marikina, 1800 Metro Manila",Amang Rodriguez Memorial Hospital,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0208-21-H3-1,,Dr. Ricardo S. Quimbo,pathologymole.armmc@gmail.com,(02) 8941 5854,,,,,,,,,,,,,,
NCR,Metro Manila,"San Jose St, Intramuros, Manila, 1002 Metro Manila",Amosup Seamen's Hospital,PRIVATE,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0070-21-H3-2,,Dr. Gilbert C. Gonzales,shmcomdept@gmail.com / shosp-mnl@amosup.org,(02) 8527 8116,,,,,,,,,,,,,,
NCR,Metro Manila,"MGEN M. Castaneda St., Fort Bonifacio, Taguig City",Army General Hospital Molecular Laboratory,GOVERNMENT,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0046-2021-CT-1,,Dr. Sierra Rom S. Hernandez,aghmolecularlaboratory@gmail.com / oacs2013@yahoo.com,(02) 8845 9555 loc 5606,,,,,,,,,,,,,,
NCR,Metro Manila,"2205 Civic Dr, Alabang, Muntinlupa, 1780 Metro Manila",Asian Hospital & Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0178-21-H3-2,,Dr. Ma. Theresa Chan-Chan Castillo,sadiviso@asianhospital.com / info@asianhospital.com,(02) 8771 9000,,,,,,,,,,,,,,
NCR,Metro Manila,"Ateneo De Manila  University, Katipunan Ave, Quezon City, 1108 Metro Manila",Ateneo Molecular Pathology Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,03/23/21 - 12/31/21,13-0019-2021-CT-2,,Mr. Malabana,dmalabana@ateneo.edu,(02) 8426 6001 loc. 4304,,,,,,,,,,,,,,
NCR,Metro Manila,"Medical Plaza, Makati City, Metro Manila","BioPath Clinical Diagnostic, Inc.",PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0059-2021-CT-2,,Dr. Carmela T. Reyes,laboratory@biopath.ph,09175692330 / 0917 5696584,,,,,,,,,,,,,,
NCR,Metro Manila,"Medical Plaza, Makati City, Metro Manila","BioPath Clinical Diagnostic, Inc.",PRIVATE,Non-Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0059-2021-CT-2,,Dr. Carmela T. Reyes,laboratory@biopath.ph,(02) 8886-4496,,,,,,,,,,,,,,
NCR,Metro Manila,"Unit G4, Garden Heights Condominium, E Rodriguez Sr. Ave, Quezon City, Metro Manila",Biopath Clinical Diagnostics Inc. (E. Rodriguez),PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0057-2021-CT-2,,Dr. Rhoderick M. Cruz,biopathqc@biopath.ph,0917 5692330 / 02-7910-0767,"Engr. Retirva, Mr. Petines, Ms. Lee, Mr. Medina, Engr. Vicente & Ms. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,"Unit G4, Garden Heights Condominium, E Rodriguez Sr. Ave, Quezon City, Metro Manila",Biopath Clinical Diagnostics Inc. (E. Rodriguez),PRIVATE,Non-Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0057-2021-CT-2,,Dr. Rhoderick M. Cruz,biopathqc@biopath.ph,0917 5692330 / 02-7910-0767,"Engr. Retirva, Mr. Petines, Ms. Lee, Mr. Medina, Engr. Vicente & Ms. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,"Camarin Rd, Barangay 177, Caloocan, Metro Manila",Caloocan City North Medical Center,LGU,Non-Hospital Based,rRT PCR,,,5,NEW,01/18/21 - 12/31/21,13-0005-2021-1-1-1,,Dr. Qareem G. Pido,ccnmcmolelab@gmail.com,828823397,"Engr. Lui, Ms. Fermo, Ms. Padua, Ms. Foronda, Engr. Tolentino.",,,,,,,,,,,,,
NCR,Metro Manila,"10 Wilson, Greenhills West, San Juan, 1502 Metro Manila",Cardinal Santos Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0060-21-H3-2,,Dr. Paulo Giovanni L. Mendoza,cdelrosario@csmc.ph / idelrosario@csmc.ph,(02) 8727 0001,,,,,,,,,,,,,,
NCR,Metro Manila,"286 Blumentritt Rd, Santa Cruz, Manila, 1014 Metro Manila",Chinese Gen. Hospital,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0173-21-H3-2,"April 12, 2021",Dr. Evelina Lagamayo,dragracepadilla@yahoo.com / molepathcghmc@gmail.com,(02) 8711 4141,,,,,,,,,,,,,,
NCR,Metro Manila,"286 Blumentritt Rd, Santa Cruz, Manila, 1014 Metro Manila",Chinese Gen. Hospital,PRIVATE,Hospital Based,Cartridge-based PCR,BioFire,,5,NEW,03/01/21 - 12/31/21,13-0173-21-H3-2,,Dr. Evelina Lagamayo,dragracepadilla@yahoo.com / molepathcghmc@gmail.com,,,,,,,,,,,,,,,
NCR,Metro Manila,"201 E Rodriguez Sr. Ave, Quezon City, 1112 Metro Manila",De Los Santos Medical Center,PRIVATE,Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0023-21-H3-2,,Dr. Herbert Manaois,avdellova@dlsmc.ph,9260319053,,,,,,,,,,,,,,
NCR,Metro Manila,"Unit 204 Highpointe Medical Hub, 241 Shaw Blvd, Mandaluyong, Metro Manila",Detoxicare Molecular Diagnostics Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0003-2021-CT-2,"April 2, 2021",Dr. Daphne Ang,info@molecularlabph.com,(02) 8897 6994,,,,,,,,,,,,,,
NCR,Metro Manila,"Administration Site, St Joseph, 187 Tala, Caloocan, 1427",Dr. Jose N. Rodriguez Memorial Hospital and Sanitarium (TALA),LGU,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0110-21-H3-1,"March 25, 2021",Dr. Mirian Viterbo,djnrmhsmolecularlab@gmail.com,(02) 8294 2571,,,,,,,,,,,,,,
NCR,Metro Manila,"Administration Site, St Joseph, 187 Tala, Caloocan, 1427",Dr. Jose N. Rodriguez Memorial Hospital and Sanitarium (TALA),LGU,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0110-21-H3-1,"March 25, 2021",Dr. Mirian Viterbo,djnrmhsmolecularlab@gmail.com,(02) 8294 2571,,,,,,,,,,,,,,
NCR,Metro Manila,"East Avenue Medical Center, East Ave, Diliman, Quezon City, 1100",East Avenue Medical Center ,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0039-21-H3-1,,Dr. Mary Yvonette Nerves,eamcmolecularlab@gmail.com,639209607728,"Dr. Bonagua, Ms. Toledo",,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,El Roi Molecular Diagnostic Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0022-2021-CT-2,,Dr. Frank Gerald Pagdunzulan,molecularlab@elroi.com.ph,(02) 961-4647,"Dr. Bonagua, Ms. Toledo, Ms. Foronda, Ms. Padua & Engr. Salanga",,,,,,,,,,,,,
NCR,Metro Manila,Manila,"Ermita Molecular Diagnostic Laboratory, Inc.",PRIVATE,non-Hospital Based,rRT PCR,,,5,NEW,01/07/21 - 12/31/21,13-0068-2021-CT-2,,Dr. Edith Tria,ermitamolec@gmail.com,,,,,,,,,,,,,,,
NCR,Metro Manila,"Commonwealth Ave, New Era, Quezon City, Metro Manila","F.Y. Manalo Medical Foundation, Inc. (formerly New Era Hospital)",PRIVATE,Hospital Based,rRT PCR,,,5,NEW,02/04/21 - 12/31/21,13-0114-21-H2-2,,Dr. Araceli Jacoba,newerageneralhospital@gmail.com,,"Dr. Bonagua, Ms. Toledo, Ms. Ava",,,,,,,,,,,,,
NCR,Metro Manila,"11 Banawe St, Quezon City, 048619 ",Fe del Mundo Medical center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0163-21-H3-2,,Dr. Pedrito Tagayuna,engineering@fedelmundo.com.ph,(02) 8712 0845,,,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,First Aide Diagnostic Center,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0007-2021-CT-2,,Dr. Frederick Bandola,firstaidelaboratory@gmail.com,0917-8307899,"Engr. Lui, Ms. Fermo, Ms. Reyes, Ms. Lee, Mr. Medina & Engr. Vicente",,,,,,,,,,,,,
NCR,Metro Manila,Mandaluyong City,Health Delivery Systems,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0005-2021-CT-2,,Dr. Rodelio Lim,brixtonlab@healthfirst.com.ph,(02) 8657 2200,,,,,,,,,,,,,,
NCR,Metro Manila,"1157 Chino Roces Ave, Makati","Health Metrics, Inc.",PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0027-2021-CT-2,,Dr. Neila Cejudo,healthmetrics.moleclab@gmail.com,(02) 7795 1234,,,,,,,,,,,,,,
NCR,Metro Manila,Mandaluyong City,Healthway Medical,PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,01/18/21 - 12/31/21,13-0008-2021-CT-2,,Dr. Ma.Teresa Barzaga,hannahtelesforo@gmail.com,,,,,,,,,,,,,,,
NCR,Metro Manila,Pasay City,Heartland Medical and Diagnostic Center,PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,04/26/21 - 12/31/21,,,,molecular@heartland.ph,639273472509,"Mr. Olmedo, Ar. Leonado & Ms. Fermo",,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,Hero Laboratories,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0024-2021-CT-2,,Dr. Carl Chester Floyd Go,herolab.cubao@gmail.com,639959186298/ 639178298913/ 639953582152,"Dr. Bonagua, Mr. Favis, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
NCR,Metro Manila,Quezon City (Amoranto),Hi-Precision,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0017-2020-CT-2,,Dr. Maria Lourdes P. Santos,esmeraldachua@hiprecision.com.ph,(02) 3415 2622,,,,,,,,,,,,,,
NCR,Metro Manila,Paranaque City,"Interpharma Solutions Philippines, Inc.",PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0060-2021-CT-2,"April 2, 2021",Dr. Valerie Ann Tesoro,covid19molecularlab@zuelligpharma.com,639175502339,"Engr. Lui, Ms. Fermo, Ms. Bato, Ms. Casagan & Engr. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,Manila,Intramuros Molecular Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,01/08/21 -12/31/21,13-0002-2021-CT-2,,Dr. Rosanna Tungol,ninomd.molecular@gmail.com,,,,,,,,,,,,,,,
NCR,Metro Manila,Makati City,IOM- Manila Health Centre Laboratory,PRIVATE,Non-Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0009-2021-CT-2,,Dr. Dario Defensor,kmburgonio@iom.int,0917 593 4688,,,,,,,,,,,,,,
NCR,Metro Manila,"Rizal Ave, Santa Cruz, Manila, Metro Manila",Jose R. Reyes Memorial Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,NEW,01/11/21 - 12/31/21,13-0042-21-H3-1,,Dr. Frack Gerald Pagdunzulan,bj_tsutsugamushi@yahoo.com,,,,,,,,,,,,,,,
NCR,Metro Manila,Pasay City,JT Cenica Medical Health System,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0050-2021-CT-2,,Dr. Paulo Antonio Clemente,jtcenica.healthsystem01@gmail.com,639178128039/ 639337291334,,,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,Kairos Diagnostics Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0017-2021-CT-2,,Dr. Herbert Manaois,davidcatapia@yahoo.com / kairosmolecularlab@gmail.com,9682249658,,,,,,,,,,,,,,
NCR,Metro Manila,Makati City,Kaiser Medical Center Inc.,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0010-2021-CT-2,,Dr. Rodelio Lim,quality.compliance@kaisermedcenter.com,9178513028,"Ar. Leonado, Ms. Toledo, Ms. Foronda, Ms. Reyes, Ms. Padua & Engr. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,"Diego Cera Ave, Bernabe Compound, Pulanglupa I, Las Piñas City Metro, Manila, Las Pinas",Las Pinas General Hospital and Satellite Trauma Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0200-21-H2-1,,Dr. Edna May Go,lpghstc@gmail.com,(02) 8873 0557,,,,,,,,,,,,,,
NCR,Metro Manila,"Diego Cera Ave, Bernabe Compound, Pulanglupa I, Las Piñas City Metro, Manila, Las Pinas",Las Pinas General Hospital and Satellite Trauma Center,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0200-21-H2-1,,Dr. Edna May Go,lpghstc@gmail.com,(02) 8873 0557,"Ar. Leonado, Ms. Toledo, Ms. Casagan, Ms. Bato, Engr. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,Taguig City,Lifecore Biointegrative Inc.,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0026-2021-CT-2,,Dr. Gil Ryan Galvan,miketobias_umali@yahoo.com,,"Mr. Favis, Ar. Rabe, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,"Quezon Ave, Diliman, Quezon City",Lung Center of the Philippines (LCP),DOH Retained,Hospital Based,rRT PCR,,SNL,5,RENEWED,01/01/21 - 12/31/21,13-0135-21-H3-1,,Dr. Ma. Teresa Barzaga,lcpcovtestgroup@gmail.com,(02) 8924 6101,,,,,,,,,,,,,,
NCR,Metro Manila,"Quezon Ave, Diliman, Quezon City",Lung Center of the Philippines (LCP),DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,SNL,5,RENEWED,01/01/21 - 12/31/21,13-0135-21-H3-1,,Dr. Ma. Teresa Barzaga,lcpgenexpertlab@gmail.com,(02) 8924 6101,,,,,,,,,,,,,,
NCR,Metro Manila,"2 Amorsolo Street, Legazpi Village, Makati, 1229 Kalakhang Maynila",Makati Medical Center (HB),PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0004-21-H3-2,,Dr. Warren Welby Koa,medical.director@makatimed.net.ph,(02) 8888 8999,,,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,Manila Diagnostic Center for OFW Inc.,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0029-2021-CT-2,,Dr. Dexter Ledesma,maniladiagnostic@gmail.com,639178550875,"Dr. Bonagua, Ms. Toledo, Ms. Lee, Mr. Medina & Engr. Salanga",,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,Manila Doctors Hospital,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0207-21-H3-2,,Dr. Ma. Cecilia Lim,info@maniladoctors.com.ph rhalden.qrmo@gmail.com,(02) 8558 0888,"Dr. Hautea, Ar. Leonado",,,,,,,,,,,,,
NCR,Metro Manila,Marikina City,Manila Healthtek Inc.,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0014-2021-CT-2,,Dr. Rose Loue Marie Agbay,manilahealthtek.labs@gmail.com,(02) 7950 5026,"Dr. Bonagua, Engr. Retirva, Ms. Padua, Ms. Foronda, Engr. Tolentino & Ms. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,"80 Bayan-Bayanan Ave, Marikina",Marikina Molecular Diagnostic Laboratory,LGU,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0054-2021-CT-1,,Dr. Justine Alessandra Uy,marikinacovidlab@gmail.com,,,,,,,,,,,,,,,
NCR,Metro Manila,Pasay City,"Marilao Medical and Diagnostic Clinic, Inc.",PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,02/16/21 - 12/31/21,13-0012-2021-CT-2,,Dr. Paulo Enrico Belen,mmdcpasay@gmail.com,639773881408,,,,,,,,,,,,,,
NCR,Metro Manila,"National Kidney and Transplant Institute, East Ave, Diliman, Quezon City",National Kidney and Transplant Institute,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0203-21-H3-1,,Dr. Pamela Delos Reyes - Murillo,nkticovid@gmail.com,(02) 8981 0300,,,,,,,,,,,,,,
NCR,Metro Manila,"National Kidney and Transplant Institute, East Ave, Diliman, Quezon City",National Kidney and Transplant Institute,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0203-21-H3-1,,Dr. Pamela Delos Reyes - Murillo,nkticovid@gmail.com,(02) 8981 0300,,,,,,,,,,,,,,
