Timestamp,Email Address,Region,Province,City/ Municipality, Name of Laboratory,Type of Ownership,Type of Testing,Zoning Catchment Area (province/city/municipality) + total specimen per area per day (i.e. Rizal-50),Operating Hours per day,Operating Days,Declared turnaround time from specimen receipt to results release (in hours),Cut off time,"Actual Maximum Operational Capacity per day (# of samples than can be tested  per day-based on available machine, HR, operating hours, etc.  i.e. 1000)","Maximum number of samples that can be processed per day (based on available machine, HR, supplies, operating hours, etc. i.e. 1000)",Status of Laboratory Operational Capacity,Factors Affecting Current Operational Capacity,Number of Operational Extraction Machine ,Compatible Specimen Collection Kit to Extraction Machines,Number of Sansure SSR needed per day ,Number of VTM needed per day,Compatible DOH Procured Automated Extraction Kit to Extraction Machine,Number of Automated Extraction Kit needed per day,"Maximum Automated Extraction Output Per Day (maximum number of samples extracted per day based on available machine, HR, operating hours, etc.)","Current Automated Extraction Output per day (actual number of samples extracted per day based on available machine, HR, supplies, operating hours, etc.)",Number of Manual Extraction Kit needed per day,"Maximum Manual Extraction Output Per Day (maximum number of samples that can be extracted per day based on available machine, HR, operating hours, etc.)","Current Manual Extraction Output per day (current number of samples that can be extracted per day based on available machine, HR, supplies, operating hours, etc.)",Factors Affecting Extraction Output ,Operational PCR Machines,Number of PCR Kits needed per day,"Maximum PCR Output per day (maximum samples processed per day based on available machine, HR, operating hours, etc.)","Current PCR Output per day (current samples  processed per day based on available machine, HR, supplies, operating hours, etc.)",Type of Cartridge-based RT-PCR Machine,Type of Cartridged-based Modules,Total Operational Machine Modules (numeric value),Total number of Genexpert cartridges needed per day (numeric value),Total number of GeneXpert cartridges needed per month (numeric value),Other Requirements Prior to Acceptance of Samples,Other Laboratory Needs,Laboratory Contact Person,Contact Number (For DOH only),Specimens Collected,Preferred DOH Procured Manual Extraction Kit ,Brand of PCR Machines,Compatible DOH Procured PCR Kits to PCR Machines,Brand of RNA Extraction Machine,Testing output relative to capacity (number of samples tested/ declared maximum number of samples that can be processed) x 100 ,Positive Control Failure (No of runs in a day affected by a positive control failure),Internal Control Failure (No. of samples released with invalid result/ total number of samples tested for the day x 100),Negative Control Failure (No. of runs in a day affected by negative control failure),Declared turnaround time from specimen receipt to results release (in hours),Maximum Machine Operational Capacity [total samples per run x number of runs per day x total machines (separate RNA extraction from RT PCR machines i.e. 400; 500)],Total samples tested last week (from Mon to Sun),Total Cartridged-based samples tested per day
4/13/2021 14:42:32,pcalab2020@yahoo.com,VII,Cebu,Cebu,Prime Care Alpha Covid 19 Testing Laboratory ,Private,RT-PCR,1000,24 hours,7 days with holidays,24 hours,5pm,2000,200,Decrease,Implementation of different government regulations on Inbound Flights,5,VTM and SSR,50,200,,3,1,1,1,1,1,Number of patients,2,3,1,1,,,,,,,,Cherry Faye Pena ,09279555626,,,,,,,,,,,,,
4/14/2021 9:38:00,portarea.mlab@redcross.org.ph,NCR,PORT AREA,MANILA,PRC-PORT AREA MOLECULAR LABORATORY,Private,RT-PCR,"CALOOCAN - 400
NAVOTAS - 200
SAN JUAN- 600
MALABON - 100 
VALENZUELA- 100",24 hours,7 days with holidays,48 hours,NONE,11000,7000,Increase,Surge of samples due to increasing cases ,7,Sansure SSR,200,NA,NONE,110,11000,7000,NA,NA,NA,Machine down-time/ Hardware failure,12,300,11000,7000,NA,NA,NA,NA,NA,"Proper cold chain, correct UTM ",NA,Florame Sanchez,NA,,,,,,,,,,,,,
4/14/2021 15:28:14,pgmollab@gmail.com,IV-B,Oriental Mindoro,Puerto Galera,Puerto Galera Molecular Laboratory,LGU Owned,RT-PCR and Other Cartridge based,Puerto Galera - 48,8 hours,7 days,48 hours,5PM,48,8,Average/Manageable,"Number of requests for the test, either by physician's request or patient's request",No Extraction Machine,,,48,,,,,,,,,2,48,48,8,"Cepheid GeneXpert, Ustar",Four placer,4,32,960,"Clinical evaluation by a physician, Accomplished CIF forms, valid ID, physician request form",,Gene Alfaro,09055184902,,,,,,,,,,,,,
4/19/2021 1:26:32,molecularlab@mjsantos.com.ph,CARAGA,Agusan del Norte,Butuan City,Manuel J. Santos Hospital,Private,GeneXpert,Butuan-26,12 hours,7 days with holidays,24 hours,Morning:10am; afternoon: 2pm; on call shift: 9:30pm,28,26,Average/Manageable,"incomplete infos of CIFs, LACK OF MANPOWER (3 analyst only), SCHEDULING, if one or more module of GeneXpert machine is defective",No Extraction Machine,VTM,0,30,n/a,0,0,0,0,0,0,0,1,0,0,0,Cepheid GeneXpert,Four placer,2,30,750,"complete infos in CIFs, proper storage and proper labels of samples when transporting, 1 nasopharyngeal swab only and should be placed in SANLI VTM",,"Ruth Grace B. Ranario, RMT",09985822747,1 NPS only,Not Applicable,n/a,n/a,n/a,92.8,0,21.4,0,,,,
4/19/2021 7:41:16,kccrisostomo@sehi.ph,XII,South Cotabato,General Santos City,"St. Elizabeth Hospital, Inc.",Private,GeneXpert,"South Cotabato- 10
General Santos City- 25
Sultan Kudarat- 5
Sarangani- 5",24 hours,"7 days, 7 days with holidays",24 hours,None,96,32,Average/Manageable,"-increase in number of OFWs traveling abroad
-turnaround time (2hrs)",No Extraction Machine,None,,50,,,,,,,,,,,,,Cepheid GeneXpert,Four placer,3,32,900,,,Dr. Kenneth C. Crisostomo,,1 NPS and 1 OPS,,,,,33.3,0,0,0,,,,
4/19/2021 7:42:52,nihcovid19.upm@up.edu.ph,NCR,Metro Manila,Manila,UP NIH Molecular Laboratory,Other Government Agency,RT-PCR,Manila and Mandaluyong +/- Valenzuela others ( no fixed number per day / no quotas),16 hours,7 days with holidays,48 hours,Specimens receive from 6:30 AM - 10 AM for same day processing; can receive up to 7 PM for next day processing.,400,"Average: January - 99, February - 112, March - 172, April up to present - 249",Average/Manageable,"Number of specimens submitted by DRUs etc.;
Status of BSL2+ laboratory, Extraction and PCR machines;
Number of staffs reporting to work;
Reagents, consumables and supplies.",2,"VTM, Sansure SSR, VTM and SSR",0,300,"Thermo Scientific Magmax Extraction kit, Kingfisher with consumables, Panamax GenAmplify BeaDxMax",Depending on the machine used - Magmax - one only because 1 kit can do 1000 reactions; GenAmplify BeaDxMax kits- can be up to 400 reactions / 1 box a day,400,"Average: January - 99, February - 112, March - 172, April up to present - 249 + 20% for reruns and controls.",1 kit,up to 50 (equivalent to 1 kit),up to 50,"Number of specimens received, number of reruns from automated extraction due to invalid / no internal control, errors, and results for validation, specimens with low volume",4,7 (for kits with 48 tests - Sansure BioTech),400,250,,,,,,"Case Investigation Form Version 7, 
Linelist (Form A), 
Sealed Transport Box with ice packs inside.",,Karen Cybelle J. Sotalbo,09953579280,"1 NPS only, 1 OPS only, 1 NPS and 1 OPS",,"MIC PCR, Bio-Rad CFX96","BGI, A Star Fortitude Kit 2.0, Sansure, GenAmplify","Kingfisher, Panagene Panamax 48",,,,,,,,
4/19/2021 8:03:45,jeanelyntaguinod@gmail.com,II,Cagayan,Tuguegarao City,Cagayan Valley CHD TB Reference Laboratory,DOH Owned,GeneXpert,different DRUs: 50-90 per day,8 hours,7 days with holidays,24 hours,"Cut off for specinen receiving: 3pm on weekdays, 10am on weekends",112,90,Average/Manageable,number of specimens received per day,2,VTM and SSR,,,,,,,,,,,,,,,Cepheid GeneXpert,"Four placer, Sixteen placer",16,112,3360,Must be encoded in COVID CODA (local IS linked with CDRS),Operational extraction machines refer to the 2 gx machines of the lab,Shirlyn A. Perez,09178721107,1 NPS and 1 OPS,,,,,90/112*100 = 80,NA,NA,NA,,,,
4/19/2021 8:41:46,culsanlab@gmail.com,IV-B,PALAWAN,CULION,CULION SANITARIUM AND GENERAL HOSPITAL,DOH Owned,GeneXpert,NORTHERN PALAWAN - 50,8 hours,7 days,48 hours,3:00 PM,48,60,Increase,"MANPOWER, SUPPLIES, MACHINE OUTPUT",No Extraction Machine,N/A,0,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,Cepheid GeneXpert,Four placer,6,30,500,"CIF, REQUEST FORM, STORAGE TEMPERATURE, PROPER TRANSPORT TEMPERATURE",N/A,ALDRIN JASON N. TABLA,09669733178,1 NPS and 1 OPS,N/A,N/A,N/A,N/A,125,N/A,0,N/A,,,,
4/19/2021 8:42:22,batmcmolecularlab@gmail.com,IV-A,Batangas,Batangas City,Batangas Medical Center Molecular Diagnostics Laboratory (RT-PCR) ,DOH Owned,RT-PCR,Batangas Province-150 to 180 per day,8 hours,5 days with holidays,72 hours,12 noon,180,150-180,Increase,Increase in the number of positive cases and contact tracing activities ,2,VTM,0,180,Maccura MagBind RNA Extraction Kit,180,180,150-180,180,180,150-180,Increase in the number of samples being submitted per day due to the surge of positive cases and contact tracing activities ,2,180,180,150-180,N/A,N/A,N/A,N/A,N/A,"Coordination with our laboratory and submission of the following:
-Laboratory Request Form
-Case Investigation Form
-Members Data Record from PhilHealth
-Laboratory Receiving Form (Line list)",We currently have 5 Analysts and 4 Encoders only,Patricia Mae U. Macalalad,09152723871,1 NPS and 1 OPS,Maccura MagBind RNA Extraction Kit,Bio-Rad CFX96,Maccura SARS-COV-2 Fluorescent PCR Kit,Maccurra,100%,0,0,0,,,,
4/19/2021 8:45:12,dwh.virology@gmail.com,VIII,LEYTE,TACLOBAN,DIVINE WORD HOSPITAL,Private,RT-PCR,N/A,16 hours,7 days with holidays,48 hours,2 PM,500,150,Decrease,NONE,2,VTM,N/A,150,N/A,6,210,150,N/A,N/A,N/A,N/A,2,2,210,150,N/A,N/A,N/A,N/A,N/A,COMPLETELY FILLED OUT REQUEST AND CIF,,RAZEL AIZA B PEDROSA,09655529198,1 NPS and 1 OPS,N/A,"Bio-Rad CFX96, Bioer Quant Gene 9600",A Star Fortitude Kit 2.0,Auto-Pure32A (Allsheng),,N/A,N/A,N/A,,,,
4/19/2021 8:50:27,nmtbrc.covid@gmail.com,X,Misamis Oriental,Cagayan de Oro City,Northern Mindanao Medical Center Satellite COVID-19 Laboratory,DOH Owned,RT-PCR,"Misamis Oriental - 50, Misamis Occidental - 50, Lanao del Norte/Iligan City - 20 , Bukidnon - 70 , Camiguin Island -  20",16 hours,7 days with holidays,48 hours,9:00 pm,558,279,Average/Manageable,Limited number of samples arriving at our laboratory. ,3,VTM and SSR,,,,4,558,279,0,0,0,Automated extraction preferred for faster TAT,3,16,558,279,,,,,,CIF and Transmittal,,Gemma G. Uy,09065375647,1 NPS and 1 OPS,XABT Nucleic Extraction Kit,"ABI 7500 Fast, Bio-Rad CFX96, Sansure MA 6000, ABI 7500 Regular","A Star Fortitude Kit 2.0, Sansure","GenePure Pro, Genolution Nextractor 48, Sansure Natch CS",50,0,0.71,0,,,,
4/19/2021 8:54:14,dmmcpcrlab2@gmail.com,IV-A,BATANGAS,TANAUAN CITY,DANIEL O. MERCADO MEDICAL CENTER,Private,RT-PCR,"BATANGAS-65, NCR-25, LAGUNA-8, CAVITE-1, QUEZON-1",16 hours,6 days with holidays,48 hours,11AM & 5PM,192,100,Average/Manageable,"SHIFTING SCHEDULE, MANPOWER, SAMPLE VOLUME",2,Sansure SSR,100,N/A,N/A,4,192,100,N/A,N/A,N/A,MACHINE SPECIFICATIONS,2,4,192,100,N/A,N/A,N/A,N/A,N/A,"COMPLETE CIF/LINE LIST, TRIPLE PACKAGING, PROPER LABELING",N/A,OLIVER R. LUBIANO,043-406-9884,1 NPS and 1 OPS,N/A,"Bio-Rad CFX96, Sansure MA 6000",Sansure,"Sansure Natch CS, Panagene Panamax 48",52%,0,0,0,,,,
4/19/2021 8:57:08,pnpcovid19.cl@gmail.com,NCR,Metro Manila,Quezon City,PNP Crime Laboratory COVID-19 RT-PCR Testing Facility,Other Government Agency,RT-PCR,NCR - 300 to 500,8 hours,6 days,48 hours,12:00 NN,500,300,Increase,Increased number of positive cases lately,2,VTM,N/A,150,Magabio Extraction Kit,20 to 25 Magabio plates per day,500,300,N/A,150,0,Time consuming,2,300,500,300,Others,N/A,0,0,0,Linelist and CIFs,None,PLTCOL MARIA THERESA A BODO - 09176812004,,1 NPS and 1 OPS,Magabio Extraction Kit,"ABI 7500 Fast, ABI Quantstudio",BGI,Magabio Extraction Kit,70%,0,0,0,,,,
4/19/2021 9:02:29,molecular_lab@chonghua.com.ph,VII,Cebu,Cebu City,Molecular Pathology Laboratory- Chong Hua Hospital Cebu City,Private,RT-PCR,Cebu City- 100,24 hours,7 days with holidays,24 hours,none,135,135,Average/Manageable,none,2,Sansure SSR,,,,,,,6,135,135,none,2,6,135,135,,,,,,"CIF, Laboratory request",none,"Ong, Josephine Jasmin",09177703492,1 NPS and 1 OPS,,"Sansure Slan48, DLAB ACCURATE 96",Sansure,,135,0,0,0,,,,
4/19/2021 9:08:34,pathologymole.armmc@gmail.com,NCR,Metro Manila,Marikina CIty,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,DOH Owned,RT-PCR and GeneXpert,"NCR-50, RIZAL-30",8 hours,6 days,48 hours,1:00 PM,80,60,Increase,"Lack of Manpower, Constraint on Schedule",1,VTM and SSR,30,70,N/A,2,80,60,1,60,20,"Lack of Manpower, Constraint schedule",1,2,80,60,Cepheid GeneXpert,"Two placer, Sixteen placer",20,20,300,"CIF, Lab Request Form, CF-2, CDRS-based Linelist, Specimen integrity",n/a,RACQUEL RHYS CASAOL VERZOSA,09154324900,1 NPS and 1 OPS,GenAmplify TM Viral RNA Purification Kit,Bio-Rad CFX96,BGI,Genolution Nextractor 48,6000,0,0,0,,,,
4/19/2021 9:16:29,batmcmolecularlab@gmail.com,IV-A,Batangas,Batangas City,Batangas Medical Center Molecular Diagnostics Laboratory (RT-PCR) ,DOH Owned,RT-PCR,Batangas Province-150 to 180 per day,8 hours,5 days with holidays,72 hours,12 noon,180,150-180,Increase,Increase in the number of positive cases and contact tracing activities ,2,VTM,0,180,Maccura MagBind RNA Extraction Kit,180,180,150-180,180,180,150-180,Increase in the number of samples being submitted per day due to the surge of positive cases and contact tracing activities ,2,180,180,150-180,N/A,N/A,N/A,N/A,N/A,"Coordination with our laboratory and submission of the following:
-Laboratory Request Form
-Case Investigation Form
-Members Data Record from PhilHealth
-Laboratory Receiving Form (Line list)",We currently have 5 Analysts and 4 Encoders only,Patricia Mae U. Macalalad,09152723871,1 NPS and 1 OPS,XABT Nucleic Extraction Kit,Bio-Rad CFX96,Maccura SARS-COV-2 Fluorescent Kit,Maccurra,100%,0,0,0,,,,
4/19/2021 9:21:36,cmt.tpmd@gmail.com,NCR,Metro Manila,Parañaque City,The Premier Molecular Diagnostics,Private,RT-PCR,Metro Manila 450,12 hours,6 days with holidays,48 hours,3:00PM,1000,1000,Increase,Manpower,1,Sansure SSR,500,500,N/A,15,500,500,0,0,0,Manpower,3,15,500,500,,,0,0,0,N/A,,Gayeheart Gomez,09171708432,1 NPS and 1 OPS,,Sansure MA 6000,Sansure,Sansure Natch CS,50,0,0,0,,,,
4/19/2021 9:31:16,encoding.qc@biopath.ph,NCR,METRO MANILA,E. RODRIGUEZ,"BIOPATH CLINICAL DIAGNOSTICS, INC. E. RODRIGUEZ",Private,RT-PCR and GeneXpert,METRO MANILA - 100,16 hours,7 days,48 hours,2:00 PM,500,100-200,Average/Manageable,NONE,2,VTM,0,170,MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit,2-3,500,100-120,,,,,2,2-3,500,100-120,Cepheid GeneXpert,Sixteen placer,16,100,3000,COMPLETELY FILLED UP CIF,,"MARIEL CHARI CANOZA, CMT",09175692445,"1 NPS only, 1 OPS only, 1 NPS and 1 OPS",Not Applicable,ABI Quantstudio,N/A,"Perkin Elmer pre-NAT, BIOPERFECTUS",,0,0,0,,,,
4/19/2021 9:32:51,Coro@healthmetrics.com.ph,NCR,Metro Manila,Makati ,Health Metrics Inc ,Private,RT-PCR,Makati 200,8 hours,6 days,24 hours,5pm,500,300,Increase,Family cluster,2,VTM,None,300,None,300,500,300,None,None,None,NA,2,300,500,300,None,None,None,None,0,Linelist CIF,None,Cheryl Mae Oro ,9178519564,1 NPS and 1 OPS,Not Applicable,Bio-Rad CFX96,None,Tanbead,500,None,None,None,,,,
4/19/2021 9:37:50,covid19lab.str@qualimed.com.ph,IV-A,Laguna,City of santa rosa,QUALIMED HEALTH NETWORK SANTA ROSA,Private,RT-PCR,LAGUNA/158,16 hours,7 days with holidays,48 hours,5PM,480,480,Increase,N/A,1,Sansure SSR,300,300,N/A,300,300,300,300,480,300,,2,12 BOX/24 TEST,480,300,,N/A,N/A,N/A,N/A,CIF FORMS/LABORATORY REQUEST,,CATHERINE DE LEON,0995025238,1 NPS and 1 OPS,N/A,Sansure MA 6000,Sansure,Sansure Natch CS,300,N/A,N/A,N/A,,,,
4/19/2021 9:56:44,aageronimo@tdf.org.ph,NCR,Metro Manila,Makati City,"Tropical Disease Foundation, Inc.",Private,RT-PCR,Makati - 250,16 hours,6 days,48 hours,4 pm,250,250,Average/Manageable,Number of samples,1,VTM and SSR,,,,,,,,,,,1,,,,,,,,,,,,,1 NPS and 1 OPS,,ABI 7500 Fast,,Kingfisher,,,,,,,,
4/19/2021 9:58:25,jblmghmpl.coviid19@gmail.com,III,Pampanga,San Fernando,Jose B.Lingad Memoral General Hosptal,DOH Owned,RT-PCR and GeneXpert,1000,24 hours,6 days,48 hours,12 MN,1000,1200,Increase,no consumables for our BGI testing platform,1,Sansure SSR,1200,0,"MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit, Sansure Sample Released Reagent",25,1000,1200,0,0,0,n/a,3,50,1000,1200,Cepheid GeneXpert,Four placer,1,96,3000,"completely and properly encoded CIF version 7,linelist,swab referral summary form",none,"Andres T.Miranda,RMT",09064502963,1 NPS and 1 OPS,Maccura,"Bioer LineGene 9600 series, Sansure MA 6000","BGI, Sansure","Auto-Pure32A (Allsheng), Sansure Natch CS, BGI AMTK",120,0,8.9,0,,,,
4/19/2021 10:26:06,josemarizoilo.deborja@qrdiagnostics.ph,NCR,Metro Manila,Las Piñas,QR Diagnostics,Private,RT-PCR,129.8,8 hours,6 days,24 hours,2:00 pm,200,129.8,Increase,Sample Load,1,VTM,N/A,100,abGenix AIT biotech,7,200,100,1,7,10,Sample Load,1,2,200,100,N/A,N/A,1,N/A,N/A,Follow DOH guidelines on specimen transport,,"Jose Mari Zoilo B. de Borja, RMT",09267075661,1 NPS and 1 OPS,Biospin,Bio-Rad CFX96,FTD SARS CoV 2,Abgenix Extraction System,64.9,0,0,0,,,,
4/19/2021 10:29:30,djprchmolecularlab@gmail.com,XII,SOUTH COTABATO,GENERAL SANTOS CITY,DR. JORGE P. ROYECA HOSPITAL,LGU Owned,RT-PCR,64,8 hours,7 days with holidays,24 hours,8 AM,128,64,Decrease,AVAILABILITY OF CONSUMABLES ,1,VTM,N/A,64,N/A,64,128,64,64,64,0,AVAILABILITY OF AUTOMATED EXTRACTION KITS ,2,64,128,64,N/A,N/A,N/A,N/A,N/A,CIF,N/A,RIZA S. BERENIO,09261517768,1 NPS and 1 OPS,GenAmplify TM Viral RNA Purification Kit,"ABI 7500 Fast, Qiagen Rotogene Q",N/A,BIOER Magabio Virus DNA/RNA Extraction Kit,50,N/A,N/A,N/A,,,,
4/19/2021 10:33:36,wvmcsnl@yahoo.com,VI,ILOILO,Iloilo City,"Cecilia E. Resol, RMT",DOH Owned,RT-PCR,"Iloilo Province - 500, Iloilo City - 100, Antique - 200, Guimaras - 100, Referral Hospitals - 100, Capiz - 100, WVMC Patients - 200",24 hours,7 days with holidays,48 hours,5 PM FOR RECEIVING OF SAMPLES,1200,1000,Average/Manageable,NA,6,VTM and SSR,NA,200,"Thermo Scientific Magmax Extraction kit, Kingfisher with consumables, MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit",3,5,1200,1,500,100,NA,6,"4 for MIrxes, 15 for sansure",1200,600,,,,,,,,"Cecilia E. Resol, RMT",09173157654,1 NPS and 1 OPS,"Thermofisher Genejet Viral DNA/RNA Purification Kit, Macherey Nagel Nucleospin DX Virus","ABI Quantstudio, Bio-Rad CFX96, Sansure MA 6000","BGI, A Star Fortitude Kit 2.0, Sansure","Auto-Pure32A (Allsheng), Genolution Nextractor 48, Kingfisher, Qiagen Qiacube",50,NA,3.65,NA,,,,
4/19/2021 10:54:45,lagunamolecularlaboratory@gmail.com,IV-A,Laguna,San Pablo City,Laguna Provincial Hospital - San Pablo City District Hospital,LGU Owned,RT-PCR,"Laguna, Batangas & Quezon - 270",12 hours,7 days with holidays,48 hours,4:00PM,270,270,Increase,Increased positive cases & decreased testing capacity of RITM,No Extraction Machine,Sansure SSR,300,0,N/A,0,0,0,6 kits x 48's,270,270,Increased positive cases & decreased testing capacity of RITM,2,12 boxes x 24's,270,270,N/A,N/A,N/A,N/A,N/A,"Laboratory Request Form, CIF",,"Maria Rhea C. Barrion, RMT",,1 NPS and 1 OPS,GenAmplify TM Viral RNA Purification Kit,"Bio-Rad CFX96, DLAB Accurate 96",Sansure,N/A,86.66%,0,0,0,,,,
4/19/2021 10:56:55,pcrlabrecep@fedelmundo.com.ph,NCR,METRO MANILA,QUEZON CITY,Fe Del Mundo Medical Center Molecular Diagnostic Laboratory,Private,RT-PCR,QUEZON CITY-80 MANILA CITY-40 CALOOCAN CITY-20 MANDALUYONG CITY-10 RIZAL-10 BULACAN-20 CAVITE-80 LAGUNA-5 ,8 hours,5 days with holidays,48 hours,4PM,600,200,Average/Manageable,NATURAL DISASTER,1,Sansure SSR,0,200,GENOLUTION,1,384,192,50,10,10,N/A,1,300,384,192,N/A,N/A,1,0,0,COMPLETE CIF,N/A,ERICKA MANANSALA,09162674963,1 NPS and 1 OPS,QIAAMP,Bio-Rad CFX96,XABT AND GENEFINDER,Genolution Nextractor 96,100,0,0,0,,,,
4/19/2021 11:14:33,parkwaybaguio@gmail.com,CAR,BENGUET,CITY OF BAGUIO,Parkway Medical and Diagnostic Center,Private,RT-PCR,"Baguio, CAR - 200 , Pangasinan -100 , La Union -100",12 hours,"5 days, 7 days with holidays",24 hours,4PM,500,100-200,Average/Manageable,none,2,VTM and SSR,500,500,NA,500,500,100-200,50,50,0-24,none,2,500,500,100-200,NA,NA,0,0,0,"TRIPLE PACKED IN COLD CHAIN, CIF AND LINE LIST",NA,DR. DAVE L TACLOBAO,09155933841,1 NPS and 1 OPS,XABT Nucleic Extraction Kit,"Bioer Quant Gene 9600, Sansure MA 6000",Sansure,"BIOER Magabio Virus DNA/RNA Extraction Kit, GenePure Pro, Sansure Natch CS",500,0,0-1,0-1,,,,
4/19/2021 11:27:05,pasigmolecularlab@gmail.com,NCR,Metro Manila,Pasig,Pasig City Children's Hospital,LGU Owned,RT-PCR,Pasig-1000,12 hours,6 days with holidays,48 hours,7pm,500,800,Increase,Surge of samples,3,VTM,,300,,1000,500,1000,,,,Surge of samples,2,30,500,800,,,,,,,,Mc Henry A Vega,,1 NPS and 1 OPS,,Bio-Rad CFX96,"BGI, Sansure","GeneFinder Ex-mate 32, Panagene Panamax 48",160,0,0,0,,,,
4/19/2021 11:35:44,sanmigueltestinglab@betterworld.ph,NCR,Metro Manila,Mandaluyong City,San Miguel Foundation Testing Laboratory,Private,RT-PCR,Mandaluyong,16 hours,6 days,48 hours,5pm,1000,400,Decrease,Decreased manpower due to being in quarantine/isolation. Malfunctioning of Natch extraction machines,2,Sansure SSR,,,,,,,,,,,4,,,,,,,,,,,,,"1 NPS only, 1 OPS only, 1 NPS and 1 OPS",,Sansure MA 6000,,Sansure Natch CS,,,,,,,,
4/19/2021 12:09:19,alffavishia.sddiph@gmail.com,NCR,NCR,MANDALUYONG,SAFEGUARD DNA DIAGNOSTICS INC.,Private,RT-PCR,MANDALUYONG - 900,24 hours,7 days with holidays,48 hours,"48 HRS AND 24 HRS STAT : 6:30AM TO 11PM, 12 HRS (STRICKLY FOR MEDICAL PURPOSES USE ONLY) 6:30AM TO 12NN AND 4PM TO 11PM.",1200,1200,Increase,MANPOWER,10,"VTM, VTM and SSR",N/A,900-1200,LOGIX SMART (COVID 19 KIT),3 BOXES (1 BOX/480 TEST),900-1200,900-1200,N/A,N/A,N/A,N/A,4,10-14 PCR PLATE,900-1200,900-1200,N/A,N/A,N/A,N/A,N/A,N/A,"COMPLETE CIF VERSION 8, ID OF PATIENT, PRIOR APPOINTMENT",RUEL MANITO,09171402424,1 NPS and 1 OPS,Not Applicable,BIORAD 384 PCR INSTRUMENT AND BIORAD 96 PCR INSTRUMENT,N/A,LAB TURBO 48 RNA AND DNA EXTRACTION MACHINE,,,0,1100x 1200x 100,,,,
4/19/2021 12:42:00,pcalab2020@yahoo.com,VII,Cebu ,Cebu,Prime Care Alpha Covid 19 Testing Laboratory ,Private,RT-PCR,3000,24 hours,7 days with holidays,24 hours,5pm,2000,100,Decrease,"Government regulations, testing for inbound passengers now with DOH",5,VTM and SSR,50,100,,6,2000,100,1,20,500,Number of samples available ,2,6,2000,100,,,,,,,,Cherry Faye Pena ,+639081153848,1 NPS and 1 OPS,,Roche Light Cycler 480,,"BIOER Magabio Virus DNA/RNA Extraction Kit, Roche MagnaPure",5,NA,NA,NA,,,,
4/19/2021 13:04:26,fad.result@gmail.com,NCR,METRO MANILA,CITY OF MANILA,FIRSTAIDE DIAGNOSTICS,Private,RT-PCR,NCR,24 hours,7 days with holidays,24 hours,NO CUTOFF,1000,1000,Average/Manageable,NA,3,VTM,NONE,NA,AIT Biotech ABGenix Extraction Kit,NA,NA,407,NA,NA,NA,NA,2,NA,407,407,NONE,NONE,NA,NA,NA,NA,,Leonedy Masangcay,09771277421,1 NPS and 1 OPS,Not Applicable,AIT Biotech AB Cycler Q,ABTes PCR Kit,ABGenix,1000,0-1,0-1,0-1,,,,
4/19/2021 13:41:27,pcalab2020@yahoo.com,VII,Cebu ,Cebu,Prime Care Alpha Covid 19 Testing Laboratory ,Private,RT-PCR,3000,24 hours,7 days with holidays,24 hours,5pm,2000,100,Decrease,"Government regulations, testing for inbound passengers now with DOH",5,VTM and SSR,50,100,,6,2000,100,1,20,500,Number of samples available ,2,6,2000,100,,,,,,,,Cherry Faye Pena ,+639081153848,1 NPS and 1 OPS,,Roche Light Cycler 480,,"BIOER Magabio Virus DNA/RNA Extraction Kit, Roche MagnaPure",5,NA,NA,NA,,,,
4/19/2021 13:58:03,mlmanlapaz@healthfirst.com.ph,NCR,Metro Manila,Pasig City,"Health Delivery System, Inc",Private,RT-PCR,   Mandaluyong: 30-60; Muntinlupa: 10-20;  Makati: 30-40 Quezon City: 20-40 Marikina: ~5-10 Pasig: ~5-10,8 hours,6 days,24 hours,12nn,100,100,Increase,surge in cases,No Extraction Machine,n/a,,,,,,,1,100-120,100-120,surge of samples,1,2-3,100-120,100-120,,,,,,,,Lindsay Fajardo,885-1000 loc 6452,1 NPS and 1 OPS,,Bio-Rad CFX96,,,,,,,,,,
4/19/2021 14:03:23,sharyll.gonzales@gmail.com,X,Misamis Oriental ,Cagayan de Oro City,Philippine Red Cross-Cagayan de Oro Molecular Laboratory,Private,RT-PCR,"Iligan-93
Bukidnon-150
Gingoog-7
Digos-34
",24 hours,7 days with holidays,48 hours,N/A,2000,2000,Average/Manageable,Presence of other Covid  Molecular Laboratories both public and private,1,Sansure SSR,200,N/A,,200,200,200,N/A,N/A,N/A,N/A,2,4 Nucleic Acid Diagnostic Kit (48T),200,200,N/A,N/A,2,N/A,N/A,"Correct transport and storage ,correct masterlist and CIF, correct labels/barcodes in the UTM",N/A,Arabella Radaza,N/A,1 NPS and 1 OPS,Not Applicable,Sansure MA 6000,Sansure,Sansure Natch CS,200,N/A,N/A,N/A,,,,
